USA,a01,a02,C,I,G,X,M
g01,536.7370107658353,776.9272487520475,390.2270137043744,2.6112890060710102e-11,0.0,291.1715544453509,-301.95130939903
g02,314.14521901587113,16647.783540285687,15076.459759379526,4271.46479756351,4479.540514272263,3554.3844914532606,-3697.3747108959074
L,108.3915623316997,12616.730701593591,773.3343386541951,213.5732398781768,0.0,0.0,0.0
K,357.0123222891211,8035.691144667191,1553.2035836031218,213.5732398781768,0.0,0.0,0.0
TAX,376.8254038660767,2569.2709757756943,0.0,0.0,0.0,0.0,0.0
ROW,a01,a02,C,I,G,X,M
g01,536.7370107658353,776.9272487520475,390.2270137043744,2.6112890060710102e-11,0.0,291.1715544453509,-301.95130939903
g02,314.14521901587113,16647.783540285687,15076.459759379526,4271.46479756351,4479.540514272263,3554.3844914532606,-3697.3747108959074
L,108.3915623316997,12616.730701593591,773.3343386541951,213.5732398781768,0.0,0.0,0.0
K,357.0123222891211,8035.691144667191,1553.2035836031218,213.5732398781768,0.0,0.0,0.0
TAX,376.8254038660767,2569.2709757756943,0.0,0.0,0.0,0.0,0.0
